gene	WT1	WT2	WT3	DL1	DL2	DL3	E41	E42	E43	XG1	XG2	XG3
CCNA_R0094	6	6	3	26	32	42	8	16	11	17	3	6
CCNA_00001	13	11	9	78	90	104	26	49	22	24	11	12
CCNA_00002	11	9	5	51	67	77	13	23	23	14	15	12
CCNA_00003	10	4	4	29	51	69	19	22	19	7	11	15
CCNA_00004	4	6	3	28	34	55	11	15	24	12	3	8
CCNA_00005	15	19	12	57	81	93	16	27	21	17	11	11
CCNA_00006	14	20	23	51	75	77	18	37	27	25	7	16
CCNA_R0095	19	30	25	69	93	109	26	41	36	34	16	20
CCNA_00007	13	13	3	44	52	79	17	30	26	23	15	14
CCNA_00008	142	162	40	684	812	1042	236	442	303	281	199	174
CCNA_00009	8	8	4	32	39	52	19	18	7	11	3	4
CCNA_00010	267	127	255	397	533	521	89	153	113	173	203	157
CCNA_00011	86	48	73	133	124	151	32	62	43	36	24	35
CCNA_00012	20	43	12	147	169	238	46	92	63	36	28	27
CCNA_R0096	2	1	0	5	6	6	3	1	4	0	0	1
CCNA_00013	235	116	130	275	319	385	63	99	103	116	96	132
CCNA_00014	33	28	22	52	67	78	18	32	19	19	13	17
CCNA_00015	5	6	2	46	69	75	10	20	17	6	8	17
CCNA_00016	4	7	5	23	22	32	6	13	11	5	5	6
CCNA_00017	3	4	2	19	19	23	4	15	10	2	3	3
CCNA_00018	22	28	20	104	145	177	32	54	40	34	23	23
CCNA_00019	12	11	4	58	60	74	20	27	27	24	9	13
CCNA_00020	41	25	33	71	84	92	12	32	20	17	14	15
CCNA_03911	26	15	20	36	36	47	11	15	16	24	9	11
CCNA_00021	142	118	83	270	417	355	76	144	115	212	167	111
CCNA_00022	41	27	22	80	101	85	19	44	34	63	34	31
CCNA_00023	77	69	42	74	102	102	25	44	25	37	30	23
CCNA_00024	33	35	36	64	97	92	15	54	30	36	20	19
CCNA_00025	38	37	24	115	159	182	37	69	51	52	22	26
CCNA_00026	17	18	4	79	98	163	28	73	31	29	18	19
CCNA_00027	23	24	8	55	86	88	23	45	24	38	18	31
CCNA_R0097	5	3	3	12	18	25	6	12	10	6	3	4
CCNA_00028	88	130	39	427	563	736	221	419	279	188	165	108
CCNA_00029	28	35	7	119	174	209	38	86	49	49	23	38
CCNA_00030	12	21	7	78	111	96	60	108	62	33	14	17
CCNA_00031	15	9	9	60	60	79	34	74	49	27	14	13
CCNA_00032	21	8	20	36	42	43	20	28	17	21	6	14
CCNA_03912	23	18	15	57	76	83	24	37	32	33	14	23
CCNA_00033	124	139	67	298	329	367	89	202	143	167	109	116
CCNA_00034	36	50	23	232	271	329	86	161	93	69	102	48
CCNA_00035	54	51	58	183	266	263	70	119	92	77	108	53
CCNA_00036	2	7	2	32	42	45	23	29	21	13	2	9
CCNA_00037	13	16	10	48	59	64	18	43	31	36	14	14
CCNA_00038	6	13	6	41	39	65	12	23	22	17	15	14
CCNA_00039	20	24	22	61	77	106	25	37	23	30	20	18
CCNA_00040	15	21	11	46	62	69	18	28	16	25	16	10
CCNA_00041	106	108	41	355	434	594	136	302	179	152	103	80
CCNA_R0098	12	8	7	52	42	67	19	41	30	12	5	10
CCNA_00042	14	12	8	61	61	101	16	48	33	20	9	14
CCNA_00043	14	46	17	200	233	309	77	161	115	68	23	32
CCNA_00044	6	22	11	125	148	219	44	82	69	37	17	21
CCNA_00045	13	4	3	46	54	72	11	27	21	9	13	19
CCNA_00046	9	6	5	20	26	48	4	20	10	7	6	8
CCNA_00047	4	7	5	28	47	47	17	26	14	17	7	8
CCNA_00048	391	274	124	436	556	517	70	132	118	253	182	326
CCNA_00049	55	50	22	159	198	217	36	50	39	30	19	16
CCNA_00050	14	17	6	60	92	77	31	54	31	25	10	15
CCNA_00051	61	29	40	108	110	149	38	70	46	41	38	34
CCNA_00052	11	9	12	34	33	65	11	33	9	11	6	14
CCNA_00053	3	9	4	35	54	71	15	31	14	19	10	8
CCNA_00054	17	21	10	112	126	185	32	70	32	29	17	20
CCNA_00055	79	54	82	106	140	178	35	57	38	56	36	43
CCNA_00056	1	6	2	22	28	33	9	21	7	6	2	6
CCNA_00057	5	16	2	40	58	88	19	39	23	17	11	8
CCNA_00058	20	26	15	57	67	95	14	32	16	30	13	18
CCNA_00059	341	121	219	244	348	360	44	60	44	164	96	164
CCNA_00060	208	103	167	141	201	186	37	56	38	106	61	101
CCNA_00061	41	35	24	114	191	186	36	64	48	70	44	62
CCNA_00062	42	27	18	110	164	171	31	49	35	50	58	41
CCNA_03913	1	0	1	4	4	2	0	0	3	3	0	2
CCNA_00063	12	22	6	56	82	97	28	42	18	33	9	20
CCNA_00064	14	19	9	58	76	98	25	48	37	28	13	12
CCNA_03914	0	0	0	0	2	0	0	0	0	0	1	0
CCNA_00065	5	5	2	34	33	32	6	13	15	11	5	6
CCNA_00066	1	9	1	17	24	28	5	10	4	7	2	3
CCNA_00067	4	6	1	9	11	15	5	7	5	5	1	1
CCNA_00068	3	8	2	27	26	34	11	16	16	6	5	5
CCNA_00069	1	4	3	32	36	53	11	25	16	11	9	8
CCNA_00070	12	6	4	24	29	39	8	11	9	10	8	5
