gene	count
ENSPTRG00000000001	177
ENSPTRG00000000008	1
ENSPTRG00000000009	6
ENSPTRG00000000017	25
ENSPTRG00000000021	55
ENSPTRG00000000024	373
ENSPTRG00000000025	742
ENSPTRG00000000027	719
ENSPTRG00000000028	922
ENSPTRG00000000029	355
ENSPTRG00000000031	116
ENSPTRG00000000033	17
ENSPTRG00000000034	272
ENSPTRG00000000035	19
ENSPTRG00000000037	686
ENSPTRG00000000038	275
ENSPTRG00000000040	8
ENSPTRG00000000041	12
ENSPTRG00000000044	639
ENSPTRG00000000047	86
ENSPTRG00000000048	20
ENSPTRG00000000049	560
ENSPTRG00000000050	102
ENSPTRG00000000051	0
ENSPTRG00000000052	0
ENSPTRG00000000053	118
ENSPTRG00000000054	445
ENSPTRG00000000055	0
ENSPTRG00000000057	0
ENSPTRG00000000059	94
ENSPTRG00000000060	9
ENSPTRG00000000062	18
ENSPTRG00000000063	1614
ENSPTRG00000000064	111
ENSPTRG00000000067	0
ENSPTRG00000000068	778
ENSPTRG00000000069	200
ENSPTRG00000000070	105
ENSPTRG00000000072	716
ENSPTRG00000000075	3471
ENSPTRG00000000076	1475
ENSPTRG00000000078	156
ENSPTRG00000000079	543
ENSPTRG00000000081	1
ENSPTRG00000000082	228
ENSPTRG00000000084	1064
ENSPTRG00000000085	0
ENSPTRG00000000088	552
ENSPTRG00000000089	357
ENSPTRG00000000090	0
ENSPTRG00000000091	571
ENSPTRG00000000092	165
ENSPTRG00000000093	153
ENSPTRG00000000094	501
ENSPTRG00000000096	2490
ENSPTRG00000000098	330
ENSPTRG00000000099	585
ENSPTRG00000000100	1
ENSPTRG00000000102	388
ENSPTRG00000000103	281
ENSPTRG00000000104	122
ENSPTRG00000000106	1403
ENSPTRG00000000109	4259
ENSPTRG00000000111	0
ENSPTRG00000000112	32
ENSPTRG00000000113	72
ENSPTRG00000000114	109
ENSPTRG00000000115	174
ENSPTRG00000000120	121
ENSPTRG00000000121	7345
ENSPTRG00000000124	112
ENSPTRG00000000125	1
ENSPTRG00000000126	177
ENSPTRG00000000127	479
ENSPTRG00000000128	88
ENSPTRG00000000130	301
ENSPTRG00000000131	158
ENSPTRG00000000132	466
ENSPTRG00000000133	6
ENSPTRG00000000134	0
ENSPTRG00000000136	0
ENSPTRG00000000137	0
ENSPTRG00000000138	0
ENSPTRG00000000140	72
ENSPTRG00000000142	566
ENSPTRG00000000143	15
ENSPTRG00000000144	87
ENSPTRG00000000145	118
ENSPTRG00000000146	1058
ENSPTRG00000000147	1935
ENSPTRG00000000148	70
ENSPTRG00000000149	80
ENSPTRG00000000150	30
ENSPTRG00000000151	27
ENSPTRG00000000152	0
ENSPTRG00000000153	133
ENSPTRG00000000154	769
ENSPTRG00000000155	68
ENSPTRG00000000156	4
ENSPTRG00000000157	110
