gene	count
ENSGGOG00000000003	0
ENSGGOG00000000004	90
ENSGGOG00000000005	400
ENSGGOG00000000006	67
ENSGGOG00000000007	60
ENSGGOG00000000008	79
ENSGGOG00000000009	25
ENSGGOG00000000010	75
ENSGGOG00000000011	668
ENSGGOG00000000013	303
ENSGGOG00000000014	315
ENSGGOG00000000015	365
ENSGGOG00000000016	6
ENSGGOG00000000018	47
ENSGGOG00000000019	159
ENSGGOG00000000020	766
ENSGGOG00000000023	12
ENSGGOG00000000024	34
ENSGGOG00000000025	359
ENSGGOG00000000027	557
ENSGGOG00000000028	13
ENSGGOG00000000029	14
ENSGGOG00000000030	195
ENSGGOG00000000031	12
ENSGGOG00000000032	239
ENSGGOG00000000033	103
ENSGGOG00000000035	802
ENSGGOG00000000036	2412
ENSGGOG00000000037	0
ENSGGOG00000000038	97
ENSGGOG00000000039	235
ENSGGOG00000000040	601
ENSGGOG00000000041	548
ENSGGOG00000000042	0
ENSGGOG00000000043	10
ENSGGOG00000000044	2
ENSGGOG00000000045	114
ENSGGOG00000000046	0
ENSGGOG00000000047	13
ENSGGOG00000000049	696
ENSGGOG00000000050	37
ENSGGOG00000000051	63
ENSGGOG00000000053	211
ENSGGOG00000000054	7
ENSGGOG00000000055	1
ENSGGOG00000000056	134
ENSGGOG00000000057	0
ENSGGOG00000000058	463
ENSGGOG00000000061	292
ENSGGOG00000000062	2346
ENSGGOG00000000063	865
ENSGGOG00000000065	1921
ENSGGOG00000000066	3
ENSGGOG00000000067	0
ENSGGOG00000000069	427
ENSGGOG00000000071	914
ENSGGOG00000000072	69
ENSGGOG00000000073	1389
ENSGGOG00000000074	2558
ENSGGOG00000000075	201
ENSGGOG00000000076	189
ENSGGOG00000000077	7383
ENSGGOG00000000078	30
ENSGGOG00000000080	1060
ENSGGOG00000000081	1736
ENSGGOG00000000082	6
ENSGGOG00000000083	0
ENSGGOG00000000084	1146
ENSGGOG00000000085	33
ENSGGOG00000000087	0
ENSGGOG00000000090	84
ENSGGOG00000000091	314
ENSGGOG00000000092	1
ENSGGOG00000000093	102
ENSGGOG00000000094	3
ENSGGOG00000000095	9
ENSGGOG00000000096	90
ENSGGOG00000000098	275
ENSGGOG00000000099	98
ENSGGOG00000000101	0
ENSGGOG00000000102	0
ENSGGOG00000000103	1912
ENSGGOG00000000104	0
ENSGGOG00000000106	0
ENSGGOG00000000107	1113
ENSGGOG00000000108	18437
ENSGGOG00000000109	161
ENSGGOG00000000110	639
ENSGGOG00000000111	19
ENSGGOG00000000112	11583
ENSGGOG00000000113	130
ENSGGOG00000000114	715
ENSGGOG00000000115	200
ENSGGOG00000000116	266
ENSGGOG00000000117	61
ENSGGOG00000000118	2198
ENSGGOG00000000119	0
ENSGGOG00000000120	0
ENSGGOG00000000122	235
ENSGGOG00000000123	2
ENSGGOG00000000125	26
ENSGGOG00000000126	5
ENSGGOG00000000127	56
ENSGGOG00000000128	80
ENSGGOG00000000129	152
ENSGGOG00000000130	19
ENSGGOG00000000131	571
ENSGGOG00000000132	98
