gene	count
ENSG00000000003	41
ENSG00000000005	0
ENSG00000000419	23
ENSG00000000457	22
ENSG00000000460	3
ENSG00000000938	34
ENSG00000000971	41
ENSG00000001036	21
ENSG00000001084	77
ENSG00000001167	68
ENSG00000001460	34
ENSG00000001461	393
ENSG00000001497	151
ENSG00000001561	72
ENSG00000001617	41
ENSG00000001626	2
ENSG00000001629	242
ENSG00000001630	5
ENSG00000001631	20
ENSG00000002016	21
ENSG00000002079	1
ENSG00000002330	212
ENSG00000002549	96
ENSG00000002586	158
ENSG00000002587	19
ENSG00000002726	1
ENSG00000002745	1
ENSG00000002746	99
ENSG00000002822	7
ENSG00000002834	297
ENSG00000002919	53
ENSG00000002933	67
ENSG00000003056	21
ENSG00000003096	6
ENSG00000003137	15
ENSG00000003147	71
ENSG00000003249	303
ENSG00000003393	63
ENSG00000003400	21
ENSG00000003402	281
ENSG00000003436	21
ENSG00000003509	60
ENSG00000003756	100
ENSG00000003987	33
ENSG00000003989	105
ENSG00000004059	97
ENSG00000004139	28
ENSG00000004142	254
ENSG00000004399	319
ENSG00000004455	143
ENSG00000004468	50
ENSG00000004478	119
ENSG00000004487	125
ENSG00000004534	308
ENSG00000004660	101
ENSG00000004700	2
ENSG00000004766	21
ENSG00000004776	242
ENSG00000004777	245
ENSG00000004779	54
ENSG00000004799	151
ENSG00000004809	3
ENSG00000004838	11
ENSG00000004846	0
ENSG00000004848	55
ENSG00000004864	28
ENSG00000004866	38
ENSG00000004897	94
ENSG00000004939	23
ENSG00000004948	0
ENSG00000004961	13
ENSG00000004975	51
ENSG00000005001	0
ENSG00000005007	280
ENSG00000005020	62
ENSG00000005022	352
ENSG00000005059	3
ENSG00000005073	0
ENSG00000005075	94
ENSG00000005100	94
ENSG00000005102	2
ENSG00000005108	194
ENSG00000005156	26
ENSG00000005175	48
ENSG00000005187	1
ENSG00000005189	4
ENSG00000005194	35
ENSG00000005206	170
ENSG00000005238	192
ENSG00000005243	38
ENSG00000005249	20
ENSG00000005302	89
ENSG00000005339	312
ENSG00000005379	889
ENSG00000005381	22
ENSG00000005421	11
ENSG00000005436	118
ENSG00000005448	21
ENSG00000005469	36
ENSG00000005471	1
ENSG00000005483	1259
ENSG00000005486	545
ENSG00000005513	354
ENSG00000005700	0
ENSG00000005801	57
ENSG00000005810	727
ENSG00000005812	80
ENSG00000005844	24
ENSG00000005882	66
ENSG00000005884	117
ENSG00000005889	100
ENSG00000005893	243
ENSG00000005961	8
ENSG00000005981	36
ENSG00000006007	171
ENSG00000006015	198
ENSG00000006016	125
ENSG00000006025	53
ENSG00000006042	80
ENSG00000006047	0
ENSG00000006059	0
ENSG00000006062	7
ENSG00000006071	36
ENSG00000006116	87
ENSG00000006118	490
ENSG00000006125	769
ENSG00000006128	2
ENSG00000006194	65
ENSG00000006210	320
ENSG00000006282	319
ENSG00000006283	82
ENSG00000006327	7
ENSG00000006377	17
ENSG00000006432	118
ENSG00000006451	169
ENSG00000006453	7
ENSG00000006459	67
ENSG00000006468	166
ENSG00000006530	12
ENSG00000006534	28
ENSG00000006555	5
ENSG00000006576	42
ENSG00000006606	0
ENSG00000006607	64
ENSG00000006611	17
ENSG00000006625	49
ENSG00000006634	10
ENSG00000006638	7
ENSG00000006652	43
ENSG00000006659	0
ENSG00000006695	14
ENSG00000006704	62
ENSG00000006712	208
ENSG00000006715	199
ENSG00000006740	121
ENSG00000006744	99
ENSG00000006747	8
ENSG00000006756	64
ENSG00000006757	58
ENSG00000006788	1
ENSG00000006831	0
ENSG00000006837	15
ENSG00000007001	9
ENSG00000007038	0
ENSG00000007047	196
ENSG00000007062	15
ENSG00000007080	324
ENSG00000007129	0
ENSG00000007168	386
ENSG00000007171	6
ENSG00000007174	10
ENSG00000007202	190
ENSG00000007216	0
ENSG00000007237	664
ENSG00000007255	50
ENSG00000007264	239
ENSG00000007306	0
ENSG00000007312	6
ENSG00000007314	2
ENSG00000007341	7
ENSG00000007350	8
ENSG00000007372	176
ENSG00000007376	94
ENSG00000007384	30
ENSG00000007392	208
ENSG00000007402	23
ENSG00000007516	156
ENSG00000007520	93
ENSG00000007541	317
ENSG00000007545	68
ENSG00000007866	21
ENSG00000007908	12
ENSG00000007923	17
ENSG00000007933	7
ENSG00000007944	62
ENSG00000007952	3
ENSG00000007968	0
ENSG00000008018	73
ENSG00000008056	471
ENSG00000008083	130
ENSG00000008086	194
ENSG00000008118	76
ENSG00000008128	3
ENSG00000008130	54
ENSG00000008196	1
ENSG00000008197	1
ENSG00000008226	4
ENSG00000008256	161
ENSG00000008277	128
ENSG00000008282	94
ENSG00000008283	107
ENSG00000008294	765
ENSG00000008300	82
ENSG00000008311	226
ENSG00000008323	0
ENSG00000008324	25
ENSG00000008382	46
ENSG00000008394	202
ENSG00000008405	37
ENSG00000008438	11
ENSG00000008441	2000
ENSG00000008513	129
ENSG00000008516	7
ENSG00000008517	22
ENSG00000008710	101
ENSG00000008735	1041
ENSG00000008838	77
ENSG00000008853	439
ENSG00000008869	47
ENSG00000008952	1608
ENSG00000008988	559
ENSG00000009307	956
ENSG00000009335	85
ENSG00000009413	266
ENSG00000009694	26
ENSG00000009709	3
ENSG00000009724	5
ENSG00000009765	0
ENSG00000009780	74
ENSG00000009790	4
ENSG00000009830	96
ENSG00000009844	63
ENSG00000009950	123
ENSG00000009954	1018
ENSG00000010017	70
ENSG00000010030	10
ENSG00000010072	24
ENSG00000010165	38
ENSG00000010219	29
ENSG00000010244	300
ENSG00000010256	228
ENSG00000010270	61
ENSG00000010278	97
ENSG00000010282	110
ENSG00000010292	68
ENSG00000010295	55
ENSG00000010310	4
ENSG00000010318	35
ENSG00000010319	238
ENSG00000010322	293
ENSG00000010327	25
ENSG00000010361	29
ENSG00000010379	26
ENSG00000010404	122
ENSG00000010438	23
ENSG00000010539	19
ENSG00000010610	102
ENSG00000010626	66
ENSG00000010671	1
ENSG00000010704	24
ENSG00000010803	83
ENSG00000010810	634
ENSG00000010818	168
ENSG00000010932	0
ENSG00000011007	156
ENSG00000011009	96
ENSG00000011021	194
ENSG00000011028	77
ENSG00000011052	0
ENSG00000011083	263
ENSG00000011105	105
ENSG00000011114	0
ENSG00000011132	28
ENSG00000011143	17
ENSG00000011198	137
ENSG00000011201	25
ENSG00000011243	50
ENSG00000011258	48
ENSG00000011260	36
ENSG00000011275	364
ENSG00000011295	228
ENSG00000011304	174
ENSG00000011332	409
ENSG00000011347	829
ENSG00000011376	106
ENSG00000011405	449
ENSG00000011422	23
ENSG00000011426	101
ENSG00000011451	363
ENSG00000011454	318
ENSG00000011465	92
ENSG00000011478	79
ENSG00000011485	70
ENSG00000011523	101
ENSG00000011566	66
ENSG00000011590	2
ENSG00000011600	19
ENSG00000011638	1
